event_abbreviation,event_definition,coding_system,code_issue_dot,code_name,concept,concept_name,tags,system,type,code,conception_categories
ELECTTERM,Elective termination,ICD10CM,O05.0,Other abortion- incomplete- complicated by genital tract and pelvic infection,,,possible,P,PrA,O05.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.1,Other abortion- incomplete- complicated by delayed or excessive haemorrhage,,,possible,P,PrA,O05.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.2,Other abortion- incomplete- complicated by embolism,,,possible,P,PrA,O05.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.3,Other abortion- incomplete- with other and unspecified complications,,,possible,P,PrA,O05.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.4,Other abortion- incomplete- without complication,,,possible,P,PrA,O05.4,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.5,Other abortion- complete or unspecified- complicated by genital tract and pelvic infection,,,possible,P,PrA,O05.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.6,Other abortion- complete or unspecified- complicated by delayed or excessive haemorrhage,,,possible,P,PrA,O05.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.7,Other abortion- complete or unspecified- complicated by embolism,,,possible,P,PrA,O05.7,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.8,Other abortion- complete or unspecified- with other and unspecified complications,,,possible,P,PrA,O05.8,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O05.9,Other abortion- complete or unspecified- without complication,,,possible,P,PrA,O05.9,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06,Unspecified abortion,C0156543,Unspecified Abortion,possible,P,PrA,O06,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.0,Unspecified abortion- incomplete- complicated by genital tract and pelvic infection,C0156546,Unspecified abortion- incomplete- complicated by genital tract and pelvic infection,possible,P,PrA,O06.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.1,Unspecified abortion- incomplete- complicated by delayed or excessive haemorrhage,,,possible,P,PrA,O06.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.2,Unspecified abortion- incomplete- complicated by embolism,,,possible,P,PrA,O06.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.3,Unspecified abortion- incomplete- with other and unspecified complications,,,possible,P,PrA,O06.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.4,Unspecified abortion- incomplete- without complication,,,possible,P,PrA,O06.4,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.5,Unspecified abortion- complete or unspecified- complicated by genital tract and pelvic infection,,,possible,P,PrA,O06.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.6,Unspecified abortion- complete or unspecified- complicated by delayed or excessive haemorrhage,,,possible,P,PrA,O06.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.7,Unspecified abortion- complete or unspecified- complicated by embolism,,,possible,P,PrA,O06.7,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.8,Unspecified abortion- complete or unspecified- with other and unspecified complications,,,possible,P,PrA,O06.8,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O06.9,Unspecified abortion- complete or unspecified- without complication,,,possible,P,PrA,O06.9,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07,Failed attempted termination of pregnancy,C0392536,Failed attempted abortion,narrow,P,PrA,O07,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07,incomplete elective abortion,C2048762,incomplete elective abortion,narrow,P,PrA,O07,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.0,Genital tract and pelvic infection following failed attempted termination of pregnancy - Failed medical abortion- complicated by genital tract and pelvic infection,,,narrow,P,PrA,O07.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.1,Delayed or excessive hemorrhage following failed attempted termination of pregnancy - Failed medical abortion- complicated by delayed or excessive haemorrhage,,,narrow,P,PrA,O07.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.2,Failed medical abortion- complicated by embolism - Embolism following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.3,Failed medical abortion- with other and unspecified complications,C0477802,Failed medical abortion- with other and unspecified complications,narrow,P,PrA,O07.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.30,Failed attempted termination of pregnancy with unspecified complications,,,narrow,P,PrA,O07.30,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.31,Shock following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.31,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.32,Renal failure following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.32,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.33,Metabolic disorder following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.33,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.34,Damage to pelvic organs following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.34,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.35,Other venous complications following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.35,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.36,Cardiac arrest following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.36,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.37,Sepsis following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.37,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.38,Urinary tract infection following failed attempted termination of pregnancy,,,narrow,P,PrA,O07.38,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.39,Failed attempted termination of pregnancy with other complications,,,narrow,P,PrA,O07.39,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.4,Failed attempted termination of pregnancy without complication,C0269549,Failed attempted termination of pregnancy without complication,narrow,P,PrA,O07.4,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.5,Other and unspecified failed attempted abortion- complicated by genital tract and pelvic infection,,,narrow,P,PrA,O07.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.6,Other and unspecified failed attempted abortion- complicated by delayed or excessive haemorrhage,,,narrow,P,PrA,O07.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.7,Other and unspecified failed attempted abortion- complicated by embolism,,,narrow,P,PrA,O07.7,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.8,Other and unspecified failed attempted abortion- with other and unspecified complications,,,narrow,P,PrA,O07.8,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O07.9,Other and unspecified failed attempted abortion- without complication,,,narrow,P,PrA,O07.9,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.1,Delayed or excessive haemorrhage following abortion and ectopic and molar pregnancy,C0495168,Delayed or excessive hemorrhage following abortion and ectopic and molar pregnancy,possible,P,PrA,O08.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.1,Delayed or excessive hemorrhage following ectopic and molar pregnancy,C0495168,Delayed or excessive hemorrhage following abortion and ectopic and molar pregnancy,possible,P,PrA,O08.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.2,Embolism following abortion and ectopic and molar pregnancy,C0495169,Embolism following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.2,Embolism following ectopic and molar pregnancy,C0495169,Embolism following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.3,Shock following abortion and ectopic and molar pregnancy,C0495170,Shock following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.3,Shock following ectopic and molar pregnancy,C0495170,Shock following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.5,Metabolic disorders following abortion and ectopic and molar pregnancy,C0495172,Metabolic disorders following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.5,Metabolic disorders following an ectopic and molar pregnancy,C0495172,Metabolic disorders following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.6,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,C0495173,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,O08.6,Damage to pelvic organs and tissues following an ectopic and molar pregnancy,C0495173,Damage to pelvic organs and tissues following abortion and ectopic and molar pregnancy,narrow,P,PrA,O08.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,Z33.2,Encounter for elective termination of pregnancy,,,possible,P,PrA,Z33.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD10CM,Z37.11,single birth- stillborn child- following a termination of pregnancy for medical reasons,,single birth- stillborn child- following a termination of pregnancy for medical reasons  ,narrow,P,PrA,Z37.11,end_of_pregnancy
ELECTTERM,Elective termination,ICD10DA,O01.9A,Ektopisk mola,,,possible,P,PrA,O01.9A,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635,Legally induced abortion,C1456876,Legal abortion (finding),narrow,P,PrA,635,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.0,Legally induced abortion complicated by genital tract and pelvic infection,C0156464,Legally induced abortion- complicated by genital tract and pelvic infection- unspecified,narrow,P,PrA,635.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.00,Legally induced abortion- complicated by genital tract and pelvic infection- unspecified,C0156464,Legally induced abortion- complicated by genital tract and pelvic infection- unspecified,narrow,P,PrA,635.00,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.01,Legally induced abortion- complicated by genital tract and pelvic infection- incomplete,C0156465,Incomplete legal termination of pregnancy with genital tract or pelvic infection,narrow,P,PrA,635.01,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.02,Legally induced abortion- complicated by genital tract and pelvic infection- complete,C0156466,Complete legal termination of pregnancy with genital tract or pelvic infection,narrow,P,PrA,635.02,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.1,Legally induced abortion complicated by delayed or excessive hemorrhage,C0269450,Legally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,narrow,P,PrA,635.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.10,Legally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,C0269450,Legally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,narrow,P,PrA,635.10,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.11,Legally induced abortion- complicated by delayed or excessive hemorrhage- incomplete,C0156469,Incomplete legal termination of pregnancy with delayed or excessive hemorrhage,narrow,P,PrA,635.11,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.12,Legally induced abortion- complicated by delayed or excessive hemorrhage- complete,C0156470,Complete legal termination of pregnancy with delayed or excessive hemorrhage,narrow,P,PrA,635.12,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.2,Legally induced abortion complicated by damage to pelvic organs or tissues,C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and-or tissues,narrow,P,PrA,635.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.20,Legally induced abortion- complicated by damage to pelvic organs or tissues- unspecified,C0156472,Legal termination of pregnancy complicated by damage to pelvic organ and-or tissues,narrow,P,PrA,635.20,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.21,Legally induced abortion- complicated by damage to pelvic organs or tissues- incomplete,C0156473,Incomplete legal termination of pregnancy with damage to pelvic organs or tissues,narrow,P,PrA,635.21,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.22,Legally induced abortion- complicated by damage to pelvic organs or tissues- complete,C0156474,Complete legal termination of pregnancy with damage to pelvic organs or tissues,narrow,P,PrA,635.22,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.3,Legally induced abortion complicated by renal failure,C0269469,Legal termination of pregnancy complicated by renal failure,narrow,P,PrA,635.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.30,Legally induced abortion- complicated by renal failure-unspecified,C0269469,Legal termination of pregnancy complicated by renal failure,narrow,P,PrA,635.30,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.31,Legally induced abortion- complicated by renal failure- incomplete,C0156477,Incomplete legal termination of pregnancy with renal failure,narrow,P,PrA,635.31,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.32,Legally induced abortion- complicated by renal failure- complete,C0156478,Complete legal termination of pregnancy with renal failure,narrow,P,PrA,635.32,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.4,Legally induced abortion complicated by metabolic disorder,C0269474,Legal termination of pregnancy complicated by metabolic disorder,narrow,P,PrA,635.4,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.40,Legally induced abortion- complicated by metabolic disorder- unspecified,C0269474,Legal termination of pregnancy complicated by metabolic disorder,narrow,P,PrA,635.40,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.41,Legally induced abortion- complicated by metabolic disorder- incomplete,C0156481,Incomplete legal termination of pregnancy with metabolic disorder,narrow,P,PrA,635.41,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.42,Legally induced abortion- complicated by metabolic disorder- complete,C0156482,Complete legal termination of pregnancy with metabolic disorder,narrow,P,PrA,635.42,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.5,Legally induced abortion complicated by shock,C0269476,Legal termination of pregnancy complicated by shock,narrow,P,PrA,635.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.50,Legally induced abortion- complicated by shock- unspecified,C0269476,Legal termination of pregnancy complicated by shock,narrow,P,PrA,635.50,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.51,Legally induced abortion- complicated by shock- incomplete,C0156485,Incomplete legal termination of pregnancy with shock,narrow,P,PrA,635.51,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.52,Legally induced abortion- complicated by shock- complete,C0156486,Complete legal termination of pregnancy with shock,narrow,P,PrA,635.52,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.6,Legally induced abortion complicated by embolism,C0269479,Legal termination of pregnancy complicated by embolism,narrow,P,PrA,635.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.60,Legally induced abortion- complicated by embolism- unspecified,C0269479,Legal termination of pregnancy complicated by embolism,narrow,P,PrA,635.60,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.61,Legally induced abortion- complicated by embolism- incomplete,C0156489,Legally induced abortion- complicated by embolism- incomplete,narrow,P,PrA,635.61,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.62,Legally induced abortion- complicated by embolism- complete,C0156490,Complete legal termination of pregnancy with embolism,narrow,P,PrA,635.62,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.7,Legally induced abortion with other specified complications,C0156492,Legally induced abortion- with other specified complications- unspecified,narrow,P,PrA,635.7,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.70,Legally induced abortion- with other specified complications- unspecified,C0156492,Legally induced abortion- with other specified complications- unspecified,narrow,P,PrA,635.70,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.71,Legally induced abortion- with other specified complications- incomplete,C0156493,Legally induced abortion- with other specified complications- incomplete,narrow,P,PrA,635.71,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.72,Legally induced abortion- with other specified complications- complete,C0156494,Legally induced abortion- with other specified complications- complete,narrow,P,PrA,635.72,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.8,Legally induced abortion with unspecified complication,C0269441,Legal termination of pregnancy with complication,narrow,P,PrA,635.8,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.80,Legally induced abortion- with unspecified complication- unspecified,C0269441,Legal termination of pregnancy with complication,narrow,P,PrA,635.80,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.81,Legally induced abortion- with unspecified complication- incomplete,C0600042,incomplete legal abortion with complication,narrow,P,PrA,635.81,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.82,Legally induced abortion- with unspecified complication- complete,C3697208,Complete legal abortion with complication,narrow,P,PrA,635.82,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.9,Legally induced abortion without mention of complication,C0156499,Legally induced abortion- without mention of complication- unspecified,narrow,P,PrA,635.9,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.90,Legally induced abortion- without mention of complication- unspecified,C0156499,Legally induced abortion- without mention of complication- unspecified,narrow,P,PrA,635.90,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.91,Legally induced abortion- without mention of complication- incomplete,C0600043,Legally induced abortion- without mention of complication- incomplete,narrow,P,PrA,635.91,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,635.92,Legally induced abortion- without mention of complication- complete,C1261319,Legally induced abortion- without mention of complication- complete,narrow,P,PrA,635.92,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636,Illegally induced abortion,C0000804,Abortion- Criminal,narrow,P,PrA,636,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.0,Illegally induced abortion complicated by genital tract and pelvic infection,C0156504,Illegally induced abortion- complicated by genital tract and pelvic infection- unspecified,narrow,P,PrA,636.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.00,Illegally induced abortion- complicated by genital tract and pelvic infection- unspecified,C0156504,Illegally induced abortion- complicated by genital tract and pelvic infection- unspecified,narrow,P,PrA,636.00,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.01,Illegally induced abortion- complicated by genital tract and pelvic infection- incomplete,C0156505,Illegally induced abortion- complicated by genital tract and pelvic infection- incomplete,narrow,P,PrA,636.01,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.02,Illegally induced abortion- complicated by genital tract and pelvic infection- complete,C0156506,Illegally induced abortion- complicated by genital tract and pelvic infection- complete,narrow,P,PrA,636.02,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.1,Illegally induced abortion complicated by delayed or excessive hemorrhage,C0269505,Illegally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,narrow,P,PrA,636.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.10,Illegally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,C0269505,Illegally induced abortion- complicated by delayed or excessive hemorrhage- unspecified,narrow,P,PrA,636.10,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.11,Illegally induced abortion- complicated by delayed or excessive hemorrhage- incomplete,C0156509,Illegally induced abortion- complicated by delayed or excessive hemorrhage- incomplete,narrow,P,PrA,636.11,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.12,Illegally induced abortion- complicated by delayed or excessive hemorrhage- complete,C0156510,Illegally induced abortion- complicated by delayed or excessive hemorrhage- complete,narrow,P,PrA,636.12,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.2,Illegally induced abortion complicated by damage to pelvic organs or tissue,C0269509,Illegal termination of pregnancy complicated by damage to pelvic organs and-or tissues,narrow,P,PrA,636.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.20,Illegally induced abortion- complicated by damage to pelvic organs or tissues- unspecified,C0269509,Illegal termination of pregnancy complicated by damage to pelvic organs and-or tissues,narrow,P,PrA,636.20,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.21,Illegally induced abortion- complicated by damage to pelvic organs or tissues- incomplete,C0156513,Illegally induced abortion- complicated by damage to pelvic organs or tissues- incomplete,narrow,P,PrA,636.21,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.22,Illegally induced abortion- complicated by damage to pelvic organs or tissues- complete,C0156514,Illegally induced abortion- complicated by damage to pelvic organs or tissues- complete,narrow,P,PrA,636.22,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.3,Illegally induced abortion complicated by renal failure,C0269524,Illegal termination of pregnancy complicated by renal failure,narrow,P,PrA,636.3,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.30,Illegally induced abortion- complicated by renal failure- unspecified,C0269524,Illegal termination of pregnancy complicated by renal failure,narrow,P,PrA,636.30,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.31,Illegally induced abortion- complicated by renal failure- incomplete,C0156517,Illegally induced abortion- complicated by renal failure- incomplete,narrow,P,PrA,636.31,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.32,Illegally induced abortion- complicated by renal failure- complete,C0156518,Illegally induced abortion- complicated by renal failure- complete,narrow,P,PrA,636.32,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.4,Illegally induced abortion complicated by metabolic disorder,C0269529,Illegal termination of pregnancy complicated by metabolic disorder,narrow,P,PrA,636.4,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.40,Illegally induced abortion- complicated by metabolic disorder- unspecified,C0269529,Illegal termination of pregnancy complicated by metabolic disorder,narrow,P,PrA,636.40,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.41,Illegally induced abortion- complicated by metabolic disorder- incomplete,C0156521,Illegally induced abortion- complicated by metabolic disorder- incomplete,narrow,P,PrA,636.41,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.42,Illegally induced abortion- complicated by metabolic disorder- complete,C0156522,Illegally induced abortion- complicated by metabolic disorder- complete,narrow,P,PrA,636.42,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.5,Illegally induced abortion complicated by shock,C0269531,Illegal termination of pregnancy complicated by shock,narrow,P,PrA,636.5,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.50,Illegally induced abortion- complicated by shock- unspecified,C0269531,Illegal termination of pregnancy complicated by shock,narrow,P,PrA,636.50,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.51,Illegally induced abortion- complicated by shock- incomplete,C0156525,Illegally induced abortion- complicated by shock- incomplete,narrow,P,PrA,636.51,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.52,Illegally induced abortion- complicated by shock- complete,,,narrow,P,PrA,636.52,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.6,Illegally induced abortion complicated by embolism,C0269534,Illegal termination of pregnancy complicated by embolism,narrow,P,PrA,636.6,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.60,Illegally induced abortion- complicated by embolism- unspecified,C0269534,Illegal termination of pregnancy complicated by embolism,narrow,P,PrA,636.60,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.61,Illegally induced abortion- complicated by embolism- incomplete,C0156529,Illegally induced abortion- complicated by embolism- incomplete,narrow,P,PrA,636.61,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.62,Illegally induced abortion- complicated by embolism- complete,C0156530,Illegally induced abortion- complicated by embolism- complete,narrow,P,PrA,636.62,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.7,Illegally induced abortion with other specified complications,C0156532,Illegally induced abortion- with other specified complications- unspecified,narrow,P,PrA,636.7,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.70,Illegally induced abortion- with other specified complications- unspecified,C0156532,Illegally induced abortion- with other specified complications- unspecified,narrow,P,PrA,636.70,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.71,Illegally induced abortion- with other specified complications- incomplete,C0156533,Illegally induced abortion- with other specified complications- incomplete,narrow,P,PrA,636.71,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.72,Illegally induced abortion- with other specified complications- complete,C0156534,Illegally induced abortion- with other specified complications- complete,narrow,P,PrA,636.72,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.8,Illegally induced abortion with unspecified complication,C0269496,Illegal termination of pregnancy with complication,narrow,P,PrA,636.8,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.80,Illegally induced abortion- with unspecified complication- unspecified,C0269496,Illegal termination of pregnancy with complication,narrow,P,PrA,636.80,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.81,Illegally induced abortion- with unspecified complication- incomplete,C0156537,Illegally induced abortion- with unspecified complication- incomplete,narrow,P,PrA,636.81,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.82,Illegally induced abortion- with unspecified complication- complete,C0156538,Illegally induced abortion- with unspecified complication- complete,narrow,P,PrA,636.82,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.9,Illegally induced abortion without mention of complication,C0260335,Illegal termination of pregnancy without complication,narrow,P,PrA,636.9,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.90,Illegally induced abortion- without mention of complication- unspecified,C0260335,Illegal termination of pregnancy without complication,narrow,P,PrA,636.90,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.91,Illegally induced abortion- without mention of complication- incomplete,C0156541,Illegally induced abortion- without mention of complication- incomplete,narrow,P,PrA,636.91,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,636.92,Illegally induced abortion- without mention of complication- complete,C0156542,Illegally induced abortion- without mention of complication- complete,narrow,P,PrA,636.92,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637,Unspecified abortion,C0156543,Unspecified Abortion,possible,P,PrA,637,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.0,Unspecified abortion complicated by genital tract and pelvic infection,C0156545,Unspecified abortion- complicated by genital tract and pelvic infection- unspecified,possible,P,PrA,637.0,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.00,Unspecified abortion- complicated by genital tract and pelvic infection- unspecified,C0156545,Unspecified abortion- complicated by genital tract and pelvic infection- unspecified,possible,P,PrA,637.00,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.01,Unspecified abortion- complicated by genital tract and pelvic infection- incomplete,C0156546,Unspecified abortion- incomplete- complicated by genital tract and pelvic infection,possible,P,PrA,637.01,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.02,Unspecified abortion- complicated by genital tract and pelvic infection- complete,,,possible,P,PrA,637.02,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.1,Unspecified abortion complicated by delayed or excessive hemorrhage,,,possible,P,PrA,637.1,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.10,Unspecified abortion- complicated by delayed or excessive hemorrhage- unspecified,,,possible,P,PrA,637.10,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.11,Unspecified abortion- complicated by delayed or excessive hemorrhage- incomplete,,,possible,P,PrA,637.11,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.12,Unspecified abortion- complicated by delayed or excessive hemorrhage- complete,,,possible,P,PrA,637.12,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.2,Unspecified abortion complicated by damage to pelvic organs or tissues,,,possible,P,PrA,637.2,end_of_pregnancy
ELECTTERM,Elective termination,ICD9CM,637.20,Unspecified abortion- complicated by damage to pelvic organs or tissues- unspecified,,,possible,P,PrA,637.20,end_of_pregnancy
